title,description,requirement,responsibilities,benefit,company,category,employment_type,experience_level,work_approach,ward,province,min_salary,max_salary,applied,view
Middle NoSQL Engineer,"CodeBridge Solutions mở rộng team database và cần một Middle NoSQL Engineer giàu kinh nghiệm về Oracle. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo PL/SQL, RAC, Data Guard, performance tuning, RMAN.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",CodeBridge Solutions,Information Technology,Full-time,Middle,Onsite,Phạm Sư Mạnh,Thành phố Hải Phòng,2000,2100,23,1148
Director of Database Engineering,"VietConnect Telecom đang tìm kiếm một Director of Database Engineering để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với Oracle và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",VietConnect Telecom,Information Technology,Full-time,Director,Onsite,Phạm Sư Mạnh,Thành phố Hải Phòng,6700,9100,46,1304
Middle ETL Developer,"ShopSphere đang tìm kiếm một Middle ETL Developer để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với Cloud Database và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo AWS RDS/Aurora, Azure SQL, GCP Cloud SQL, IaC.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Cloud Database.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",ShopSphere,Information Technology,Full-time,Middle,Remote,Trần Liễu,Thành phố Hải Phòng,1900,2500,77,208
Senior MySQL DBA,"MediTech Global đang tìm kiếm một Senior MySQL DBA để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với PostgreSQL và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 5+ năm kinh nghiệm database engineering với PostgreSQL.
- Chuyên sâu về advanced SQL, indexing, query optimization, replication, partitioning.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",MediTech Global,Information Technology,Full-time,Senior,Remote,Trần Liễu,Thành phố Hải Phòng,2900,4100,35,917
"Backend Developer (Database, Middle)","ChainWorks mở rộng team database và cần một Backend Developer (Database, Middle) giàu kinh nghiệm về MySQL. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo schema design, performance tuning, backup/recovery, replication.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MySQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance review 2x/year, Clear career path, International projects",ChainWorks,Information Technology,Contract,Middle,Onsite,Hồng Bàng,Thành phố Hải Phòng,2000,3000,67,771
Senior Database Developer,"We are hiring a Senior Database Developer to join our database engineering team in Hải Phòng. You will design, build, and operate scalable data platforms using Redis. Our systems process billions of records and power core business operations.","- 5+ năm kinh nghiệm database engineering với Redis.
- Chuyên sâu về cluster, persistence, pub/sub, caching strategies.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Redis.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",MediTech Global,Information Technology,Remote,Senior,Onsite,Hồng Bàng,Thành phố Hải Phòng,2700,4500,24,354
Head of Database,"ChainWorks đang tìm kiếm một Head of Database để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với MySQL và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MySQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Hybrid working, 14 days annual leave, Free snacks & coffee",ChainWorks,Information Technology,Remote,Director,Remote,Hồng Bàng,Thành phố Hải Phòng,6700,9800,18,550
"Backend Developer (Database, Middle)","CodeBridge Solutions đang tìm kiếm một Backend Developer (Database, Middle) để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với Redis và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo cluster, persistence, pub/sub, caching strategies.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Redis.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance bonus up to 3 months, Stock options, Premium healthcare",CodeBridge Solutions,Information Technology,Hybrid,Middle,Remote,Ngô Quyền,Thành phố Hải Phòng,2000,2800,28,90
Principal DBA,"CodeBridge Solutions đang tìm kiếm một Principal DBA để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với Data Warehouse và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 10+ năm kinh nghiệm database/data engineering ở các hệ thống production quy mô lớn.
- Tầm nhìn kiến trúc và khả năng đưa ra quyết định công nghệ dài hạn.
- Kinh nghiệm làm việc với cloud data platforms (AWS/Azure/GCP).
- Đã từng thiết kế hệ thống phục vụ hàng trăm triệu records.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Hybrid working, 14 days annual leave, Free snacks & coffee",CodeBridge Solutions,Information Technology,Remote,Principal,Remote,Ngô Quyền,Thành phố Hải Phòng,4600,6900,58,138
Manager - Database Operations,"We are hiring a Manager - Database Operations to join our database engineering team in Hải Phòng. You will design, build, and operate scalable data platforms using Redis. Our systems process billions of records and power core business operations.","- 12+ năm kinh nghiệm CNTT, trong đó 5+ năm quản lý team data/database.
- Kinh nghiệm xây dựng và vận hành data platform ở quy mô enterprise.
- Kỹ năng quản lý stakeholder, ngân sách và lộ trình kỹ thuật.
- Tư duy chiến lược về data governance, security và compliance.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Redis.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance bonus up to 3 months, Stock options, Premium healthcare",CodeBridge Solutions,Information Technology,Remote,Manager,Remote,An Biên,Thành phố Hải Phòng,4400,6400,25,819
Principal Data Engineer - Hybrid,"Join ChainWorks as a Principal Data Engineer - Hybrid working on Data Warehouse-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 10+ năm kinh nghiệm database/data engineering ở các hệ thống production quy mô lớn.
- Tầm nhìn kiến trúc và khả năng đưa ra quyết định công nghệ dài hạn.
- Kinh nghiệm làm việc với cloud data platforms (AWS/Azure/GCP).
- Đã từng thiết kế hệ thống phục vụ hàng trăm triệu records.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",ChainWorks,Information Technology,Remote,Principal,Onsite,Đông Hải,Thành phố Hải Phòng,4700,6800,17,1339
Middle ETL Developer,"ShopSphere mở rộng team database và cần một Middle ETL Developer giàu kinh nghiệm về Database DevOps. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo Flyway/Liquibase, CI/CD, containerized DBs, monitoring.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Database DevOps.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",ShopSphere,Information Technology,Full-time,Middle,Onsite,Hải An,Thành phố Hải Phòng,1900,2500,27,705
Database Manager,"VietConnect Telecom mở rộng team database và cần một Database Manager giàu kinh nghiệm về MongoDB. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 12+ năm kinh nghiệm CNTT, trong đó 5+ năm quản lý team data/database.
- Kinh nghiệm xây dựng và vận hành data platform ở quy mô enterprise.
- Kỹ năng quản lý stakeholder, ngân sách và lộ trình kỹ thuật.
- Tư duy chiến lược về data governance, security và compliance.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",VietConnect Telecom,Information Technology,Full-time,Manager,Remote,Bạch Đằng,Thành phố Hải Phòng,4400,6200,61,1001
Senior Database Migration Specialist,"We are hiring a Senior Database Migration Specialist to join our database engineering team in Hải Phòng. You will design, build, and operate scalable data platforms using PostgreSQL. Our systems process billions of records and power core business operations.","- 5+ năm kinh nghiệm database engineering với PostgreSQL.
- Chuyên sâu về advanced SQL, indexing, query optimization, replication, partitioning.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",CodeBridge Solutions,Information Technology,Full-time,Senior,Onsite,Lưu Kiếm,Thành phố Hải Phòng,2700,4400,52,119
Senior PostgreSQL DBA,"Join ShopSphere as a Senior PostgreSQL DBA working on MongoDB-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 5+ năm kinh nghiệm database engineering với MongoDB.
- Chuyên sâu về sharding, replica sets, aggregation framework, schema design.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",ShopSphere,Information Technology,Contract,Senior,Onsite,Lưu Kiếm,Thành phố Hải Phòng,2900,4400,44,1253
Junior Database Administrator,"CodeBridge Solutions mở rộng team database và cần một Junior Database Administrator giàu kinh nghiệm về Database DevOps. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Database DevOps.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",CodeBridge Solutions,Information Technology,Full-time,Junior,Remote,Hòa Bình,Thành phố Hải Phòng,1100,1500,13,627
Senior PostgreSQL DBA,"MediTech Global đang tìm kiếm một Senior PostgreSQL DBA để gia nhập đội ngũ kỹ thuật tại Hải Phòng. Bạn sẽ làm việc với SQL Server và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 5+ năm kinh nghiệm database engineering với SQL Server.
- Chuyên sâu về T-SQL, stored procedures, Always On, SSIS/SSRS.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",MediTech Global,Information Technology,Full-time,Senior,Onsite,An Dương,Thành phố Hải Phòng,3000,4000,76,714
Principal Data Engineer,"Join CodeBridge Solutions as a Principal Data Engineer working on SQL Server-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 10+ năm kinh nghiệm database/data engineering ở các hệ thống production quy mô lớn.
- Tầm nhìn kiến trúc và khả năng đưa ra quyết định công nghệ dài hạn.
- Kinh nghiệm làm việc với cloud data platforms (AWS/Azure/GCP).
- Đã từng thiết kế hệ thống phục vụ hàng trăm triệu records.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",CodeBridge Solutions,Information Technology,Contract,Principal,Onsite,Dương Kinh,Thành phố Hải Phòng,4700,7000,73,1340
Lead Database Engineer,"VietConnect Telecom is looking for a Lead Database Engineer based in Hải Phòng to strengthen our data platform. You will work on SQL Server, focusing on T-SQL, stored procedures, Always On, SSIS/SSRS for production-grade systems.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu SQL Server và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Hybrid working, 14 days annual leave, Free snacks & coffee",VietConnect Telecom,Information Technology,Full-time,Lead,Onsite,Nam Đồ Sơn,Thành phố Hải Phòng,3700,5200,59,318
Database Team Lead,"EduSmart is looking for a Database Team Lead based in Hải Phòng to strengthen our data platform. You will work on Big Data, focusing on Spark, Hadoop, Kafka, Airflow, data lake architectures for production-grade systems.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu Big Data và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Big Data.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",EduSmart,Information Technology,Contract,Lead,Onsite,Hợp Tiến,Thành phố Hải Phòng,3600,5100,56,1326
Manager - Database Operations,"Join NextGen Software as a Manager - Database Operations working on Cloud Database-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 12+ năm kinh nghiệm CNTT, trong đó 5+ năm quản lý team data/database.
- Kinh nghiệm xây dựng và vận hành data platform ở quy mô enterprise.
- Kỹ năng quản lý stakeholder, ngân sách và lộ trình kỹ thuật.
- Tư duy chiến lược về data governance, security và compliance.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Cloud Database.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",NextGen Software,Information Technology,Hybrid,Manager,Remote,Trần Phú,Thành phố Hải Phòng,4500,6200,75,1476
Junior Database Administrator,"VietConnect Telecom is looking for a Junior Database Administrator based in Hải Phòng to strengthen our data platform. You will work on Big Data, focusing on Spark, Hadoop, Kafka, Airflow, data lake architectures for production-grade systems.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Big Data.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",VietConnect Telecom,Information Technology,Full-time,Junior,Onsite,Trần Phú,Thành phố Hải Phòng,1100,1600,12,1052
